id,p1_poke1,p1_poke2,p1_poke3,p1_poke4,p1_poke5,p1_poke6,p2_poke1,p2_poke2,p2_poke3,p2_poke4,p2_poke5,p2_poke6,p1_choice,p2_choice
3663,Ferrothorn,Jirachi,Tornadus,Dugtrio,Tentacruel,Politoed,Breloom,Scizor,Skarmory,Terrakion,Landorus-Therian,Latios,Tornadus,Latios
3664,Excadrill,Gengar,Hippowdon,Rotom-Wash,Ferrothorn,Latios,Kyurem-Black,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Latios,Starmie
3665,Feraligatr,Ferrothorn,Tornadus,Starmie,Politoed,Dragonite,Breloom,Celebi,Hydreigon,Magnezone,Starmie,Archeops,Politoed,Celebi
3666,Excadrill,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Latios,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Rotom-Wash,Ferrothorn
3667,Gothitelle,Forretress,Ninetales,Cresselia,Infernape,Dragonite,Zapdos,Celebi,Tyranitar,Skarmory,Terrakion,Starmie,Forretress,Terrakion
3668,Alakazam,Tyranitar,Heatran,Gliscor,Ferrothorn,Slowbro,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Heatran,Landorus-Therian
3669,Excadrill,Rotom-Wash,Sableye,Tangrowth,Heatran,Dragonite,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Sableye,Garchomp
3670,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Garchomp,Latios,Forretress,Gorebyss,Magnezone,Landorus-Therian,Politoed,Latios,Politoed,Magnezone
3671,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Garchomp,Aerodactyl,Victini,Gyarados,Vaporeon,Infernape,Dragonite,Rotom-Wash,Aerodactyl
3672,Breloom,Rotom-Wash,Tyranitar,Jirachi,Garchomp,Latios,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,,
3673,Excadrill,Slowking,Hippowdon,Tyranitar,Landorus-Therian,Ferrothorn,Forretress,Hippowdon,Gastrodon,Heatran,Alakazam,Crobat,Ferrothorn,Crobat
3674,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Escavalier,Shuckle,Regigigas,Grumpig,Umbreon,Magnezone,Tyranitar,Escavalier
3675,Bronzong,Hippowdon,Skarmory,Latias,Reuniclus,Clefable,Alakazam,Tyranitar,Skarmory,Mienshao,Gliscor,Amoonguss,Hippowdon,Gliscor
3676,Kyurem,Xatu,Forretress,Abomasnow,Heatran,Latios,Magnezone,Landorus-Therian,Starmie,Garchomp,Dragonite,Latios,Xatu,Dragonite
3677,Excadrill,Tyranitar,Landorus-Therian,Reuniclus,Alakazam,Latios,Excadrill,Tyranitar,Reuniclus,Landorus-Therian,Ferrothorn,Latios,Landorus-Therian,Ferrothorn
3678,Thundurus-Therian,Ferrothorn,Mamoswine,Tentacruel,Politoed,Latios,Breloom,Toxicroak,Tyranitar,Terrakion,Landorus-Therian,Keldeo-Resolute,Thundurus-Therian,Breloom
3679,Forretress,Rotom-Wash,Terrakion,Reuniclus,Mamoswine,Dragonite,Excadrill,Breloom,Scizor,Tyranitar,Heatran,Gliscor,Terrakion,Tyranitar
3680,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Forretress,Breloom,Abomasnow,Kyurem-Black,Mamoswine,Mandibuzz,Latias,Forretress
3681,Thundurus-Therian,Ferrothorn,Keldeo,Politoed,Cloyster,Jellicent,Excadrill,Scizor,Rotom-Wash,Landorus-Therian,Dragonite,Latios,Ferrothorn,Rotom-Wash
3682,Tyranitar,Jellicent,Landorus-Therian,Reuniclus,Ferrothorn,Latios,Ferrothorn,Tornadus,Keldeo,Starmie,Politoed,Latios,Latios,Politoed
3683,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Gothitelle,Ferrothorn,Tornadus,Landorus-Therian,Tentacruel,Politoed,Tyranitar,Politoed
3684,Sableye,Celebi,Heatran,Gliscor,Empoleon,Roserade,Bronzong,Volcarona,Mismagius,Tornadus,Azelf,Cloyster,Sableye,Cloyster
3685,Quagsire,Chansey,Ferrothorn,Tentacruel,Politoed,Dragonite,Hippowdon,Skarmory,Terrakion,Blissey,Alakazam,Starmie,Ferrothorn,Alakazam
3686,Lucario,Tyranitar,Terrakion,Jirachi,Latias,Mamoswine,Thundurus-Therian,Azumarill,Vaporeon,Tornadus,Keldeo,Politoed,Jirachi,Keldeo
3687,Lucario,Magnezone,Terrakion,Kingdra,Dragonite,Latios,Scizor,Rotom-Wash,Lucario,Salamence,Cofagrigus,Porygon2,Terrakion,Rotom-Wash
3688,Forretress,Hippowdon,Jirachi,Gliscor,Roserade,Jellicent,Gengar,Skarmory,Gyarados,Reuniclus,Scrafty,Staraptor,Hippowdon,Skarmory
3689,Bronzong,Conkeldurr,Porygon2,Reuniclus,Dragonite,Jellicent,Tyranitar,Hydreigon,Mienshao,Gliscor,Ferrothorn,Jellicent,Bronzong,Hydreigon
3690,Stoutland,Forretress,Breloom,Tyranitar,Salamence,Gliscor,Umbreon,Metagross,Skarmory,Chandelure,Jolteon,Espeon,Tyranitar,Skarmory
3691,Starmie,Tyranitar,Skarmory,Reuniclus,Amoonguss,Mamoswine,Jirachi,Landorus-Therian,Keldeo,Garchomp,Dragonite,Latios,Starmie,Keldeo
3692,Feraligatr,Scizor,Terrakion,Starmie,Politoed,Dragonite,Breloom,Scizor,Rotom-Wash,Jolteon,Landorus-Therian,Espeon,Terrakion,Jolteon
3693,Gastrodon-East,Chansey,Conkeldurr,Skarmory,Alakazam,Mandibuzz,Breloom,Gengar,Darmanitan,Gliscor,Tentacruel,Dragonite,Skarmory,Breloom
3694,Thundurus-Therian,Toxicroak,Ferrothorn,Tornadus,Starmie,Politoed,Sableye,Weavile,Heatran,Gliscor,Ferrothorn,Latios,Thundurus-Therian,Ferrothorn
3695,Breloom,Jirachi,Landorus-Therian,Keldeo,Tentacruel,Politoed,Gothitelle,Mew,Metagross,Volbeat,Kingdra,Latios,Landorus-Therian,Mew
3696,Tyranitar,Volcarona,Landorus-Therian,Starmie,Ferrothorn,Garchomp,Xatu,Excadrill,Ferrothorn,Azumarill,Latias,Politoed,Landorus-Therian,Politoed
3697,Thundurus-Therian,Aerodactyl,Mew,Whimsicott,Empoleon,Azelf,Ferrothorn,Jirachi,Tornadus,Starmie,Politoed,Garchomp,Aerodactyl,Politoed
3698,Gengar,Toxicroak,Vaporeon,Jolteon,Landorus-Therian,Politoed,Breloom,Scizor,Salamence,Garchomp,Azelf,Dragonite,Landorus-Therian,Azelf
3699,Gastrodon-East,Darmanitan,Ninetales,Roserade,Donphan,Jellicent,Excadrill,Toxicroak,Ferrothorn,Keldeo,Politoed,Latios,Ninetales,Latios
3700,Breloom,Kyurem-Black,Ferrothorn,Jirachi,Politoed,Keldeo-Resolute,Breloom,Ferrothorn,Tornadus,Starmie,Politoed,Garchomp,Politoed,Tornadus
3701,Scizor,Tyranitar,Gliscor,Gastrodon,Terrakion,Keldeo,Thundurus-Therian,Celebi,Terrakion,Jirachi,Sharpedo,Politoed,Scizor,Politoed
3702,Tyranitar,Skarmory,Gastrodon,Terrakion,Latias,Heatran,Thundurus-Therian,Scizor,Toxicroak,Rotom-Wash,Ferrothorn,Politoed,Gastrodon,Politoed
3703,Thundurus-Therian,Scizor,Ferrothorn,Landorus-Therian,Tentacruel,Politoed,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,Latios,Politoed,Mamoswine
3704,Gengar,Conkeldurr,Terrakion,Honchkrow,Garchomp,Keldeo-Resolute,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Terrakion,Landorus-Therian
3705,Thundurus-Therian,Bronzong,Chansey,Tentacruel,Politoed,Lapras,Forretress,Scizor,Abomasnow,Reuniclus,Garchomp,Latios,Politoed,Abomasnow
3706,Tyranitar,Magnezone,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Gligar,Gastrodon,Magnezone,Starmie,Politoed,Garchomp,Landorus-Therian,Garchomp
3707,Excadrill,Magnezone,Volcarona,Landorus-Therian,Keldeo,Latios,Kyurem-Black,Salamence,Magnezone,Latias,Garchomp,Latios,Keldeo,Garchomp
3708,Breloom,Ninetales,Blissey,Heatran,Starmie,Shedinja,Thundurus-Therian,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Breloom,Garchomp
3709,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Tyranitar,Skarmory,Gliscor,Gastrodon,Reuniclus,Alakazam,Tyranitar,Gliscor
3710,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Forretress,Tyranitar,Blissey,Reuniclus,Gliscor,Jellicent,Politoed,Blissey
3711,Excadrill,Tyranitar,Gliscor,Keldeo,Amoonguss,Mamoswine,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Keldeo-Resolute,Gliscor,Rotom-Wash
3712,Abomasnow,Skuntank,Clefable,Lapras,Donphan,Froslass,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Keldeo-Resolute,Froslass,Keldeo-Resolute
3713,Excadrill,Rotom-Wash,Tyranitar,Reuniclus,Ferrothorn,Latios,Excadrill,Tyranitar,Alakazam,Mamoswine,Dragonite,Latios,Ferrothorn,Dragonite
3714,Haxorus,Magnezone,Politoed,Mamoswine,Garchomp,Latios,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Latios,Ferrothorn
3715,Scizor,Rotom-Wash,Celebi,Terrakion,Landorus-Therian,Keldeo,Scizor,Magnezone,Starmie,Garchomp,Dragonite,Latios,Landorus-Therian,Starmie
3716,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Latios,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Latios,Jirachi
3717,Magnezone,Landorus-Therian,Ferrothorn,Garchomp,Dragonite,Latios,Thundurus-Therian,Gengar,Ferrothorn,Keldeo,Politoed,Latios,Magnezone,Politoed
3718,Excadrill,Rotom-Wash,Tyranitar,Landorus-Therian,Heatran,Latios,Sableye,Conkeldurr,Ninetales,Blissey,Starmie,Absol,Latios,Sableye
3719,Tyranitar,Heatran,Gliscor,Starmie,Ferrothorn,Jellicent,Galvantula,Gallade,Spiritomb,Lapras,Sceptile,Archeops,Tyranitar,Galvantula
3720,Thundurus-Therian,Skarmory,Salamence,Tornadus,Staraptor,Dragonite,Cradily,Scizor,Tyranitar,Swampert,Metagross,Magnezone,Skarmory,Metagross
3721,Rotom-Wash,Tyranitar,Bisharp,Landorus-Therian,Ferrothorn,Latios,Thundurus-Therian,Ferrothorn,Weavile,Keldeo,Politoed,Donphan,Landorus-Therian,Ferrothorn
3722,Tyranitar,Skarmory,Seismitoad,Amoonguss,Donphan,Latios,Gastrodon-East,Excadrill,Hippowdon,Sigilyph,Skarmory,Jirachi,Amoonguss,Sigilyph
3723,Thundurus-Therian,Excadrill,Ferrothorn,Keldeo,Amoonguss,Politoed,Xatu,Volcarona,Terrakion,Ninetales,Landorus-Therian,Cresselia,Politoed,Landorus-Therian
3724,Bronzong,Ferrothorn,Tornadus,Gliscor,Tentacruel,Politoed,Forretress,Abomasnow,Heatran,Kyurem-Black,Reuniclus,Landorus-Therian,Bronzong,Abomasnow
3725,Xatu,Forretress,Ninetales,Blissey,Cresselia,Infernape,Thundurus-Therian,Conkeldurr,Gyarados,Heatran,Ferrothorn,Latios,Ninetales,Thundurus-Therian
3726,Breloom,Scizor,Tyranitar,Keldeo,Garchomp,Latios,Tyranitar,Weavile,Starmie,Ferrothorn,Garchomp,Dragonite,Garchomp,Starmie
3727,Excadrill,Rotom-Wash,Tyranitar,Magnezone,Landorus-Therian,Latios,Kyurem,Abomasnow,Landorus-Therian,Heatran,Reuniclus,Starmie,Tyranitar,Reuniclus
3728,Ferrothorn,Azumarill,Politoed,Garchomp,Keldeo-Resolute,Latios,Bronzong,Kingdra,Tyranitar,Magnezone,Amoonguss,Garchomp,Ferrothorn,Amoonguss
3729,Quagsire,Chansey,Ferrothorn,Tentacruel,Politoed,Dragonite,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Alakazam,Latios,Politoed,Rotom-Wash
3730,Tyranitar,Latias,Heatran,Gliscor,Starmie,Ferrothorn,Starmie,Scizor,Tyranitar,Terrakion,Landorus-Therian,Amoonguss,Gliscor,Landorus-Therian
3731,Rotom-Wash,Tyranitar,Ferrothorn,Landorus-Therian,Infernape,Latios,Breloom,Scizor,Salamence,Garchomp,Azelf,Dragonite,Landorus-Therian,Azelf
3732,Thundurus-Therian,Ferrothorn,Vaporeon,Dugtrio,Politoed,Latios,Breloom,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Latios,Thundurus-Therian,Landorus-Therian
3733,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Starmie,Dragonite,Thundurus-Therian,Kyurem-Black,Politoed,Alakazam,Ferrothorn,Keldeo-Resolute,Dragonite,Thundurus-Therian
3734,Scizor,Rotom-Wash,Tyranitar,Celebi,Landorus-Therian,Alakazam,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Dragonite,Latios,Rotom-Wash,Ferrothorn
3735,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Latios,Gliscor,Garchomp
3736,Gastrodon-East,Alakazam,Tyranitar,Skarmory,Reuniclus,Gliscor,Excadrill,Xatu,Tyranitar,Volcarona,Seismitoad,Latios,Skarmory,Volcarona
3737,Excadrill,Tyranitar,Gliscor,Keldeo,Amoonguss,Mamoswine,Hippowdon,Abomasnow,Tyranitar,Ninetales,Politoed,Nidoking,Amoonguss,Nidoking
3738,Excadrill,Breloom,Mew,Tyranitar,Keldeo,Espeon,Crawdaunt,Bronzong,Conkeldurr,Dusclops,Reuniclus,Marowak,Excadrill,Bronzong
3739,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Forretress,Abomasnow,Latios,Heatran,Mamoswine,Jellicent,Tyranitar,Mamoswine
3740,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Gastrodon-East,Excadrill,Breloom,Tyranitar,Alakazam,Garchomp,Bronzong,Gastrodon-East
3741,Aerodactyl,Kyurem-Black,Magnezone,Jirachi,Dragonite,Latios,Celebi,Ferrothorn,Tornadus,Tentacruel,Politoed,Keldeo-Resolute,Aerodactyl,Keldeo-Resolute
3742,Sigilyph,Gengar,Lucario,Tyranitar,Skarmory,Gastrodon,Breloom,Scizor,Terrakion,Starmie,Dragonite,Latios,Skarmory,Terrakion
3743,Tentacruel,Ferrothorn,Volcarona,Landorus-Therian,Starmie,Politoed,Breloom,Omastar,Terrakion,Volcarona,Alakazam,Cloyster,Landorus-Therian,Terrakion
3744,Excadrill,Rotom-Wash,Conkeldurr,Tyranitar,Latias,Landorus-Therian,Excadrill,Breloom,Zapdos,Celebi,Heatran,Azelf,Latias,Heatran
3745,Scizor,Tyranitar,Blissey,Landorus-Therian,Ferrothorn,Slowbro,Excadrill,Rotom-Wash,Tyranitar,Skarmory,Terrakion,Latias,Blissey,Rotom-Wash
3746,Xatu,Forretress,Conkeldurr,Ninetales,Shedinja,Jellicent,Excadrill,Zapdos,Tyranitar,Terrakion,Blissey,Slowbro,Conkeldurr,Tyranitar
3747,Kyurem-Black,Keldeo,Jirachi,Alakazam,Azelf,Slowbro,Arcanine,Venusaur,Ninetales,Jirachi,Donphan,Shiftry,Kyurem-Black,Jirachi
3748,Scizor,Rotom-Wash,Lucario,Umbreon,Alakazam,Latios,Gengar,Rotom-Wash,Jirachi,Zoroark,Landorus-Therian,Donphan,Scizor,Rotom-Wash
3749,Gengar,Skarmory,Gastrodon,Landorus-Therian,Heatran,Latios,Bronzong,Keldeo,Tornadus,Gliscor,Tentacruel,Politoed,Landorus-Therian,Bronzong
3750,Bronzong,Chansey,Ferrothorn,Tentacruel,Politoed,Dragonite,Scizor,Terrakion,Jirachi,Landorus-Therian,Starmie,Latios,Politoed,Jirachi
3751,Breloom,Ferrothorn,Landorus-Therian,Alakazam,Politoed,Latios,Aerodactyl,Riolu,Forretress,Gengar,Dusclops,Skarmory,Politoed,Forretress
3752,Scizor,Terrakion,Jirachi,Jellicent,Infernape,Latios,Darmanitan,Kyurem-Black,Ninetales,Victini,Infernape,Donphan,Terrakion,Ninetales
3753,Thundurus-Therian,Azumarill,Vaporeon,Tornadus,Keldeo,Politoed,Rotom-Wash,Swampert,Jirachi,Tornadus,Heatran,Politoed,Politoed,Rotom-Wash
3754,Scizor,Rotom-Wash,Landorus-Therian,Heatran,Starmie,Ferrothorn,Starmie,Terrakion,Jirachi,Landorus-Therian,Heatran,Amoonguss,Rotom-Wash,Heatran
3755,Scizor,Celebi,Hydreigon,Vaporeon,Heatran,Alakazam,Ludicolo,Jirachi,Blissey,Landorus-Therian,Keldeo,Politoed,Celebi,Politoed
3756,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Breloom,Hydreigon,Hitmontop,Heatran,Gliscor,Jellicent,Politoed,Hitmontop
3757,Terrakion,Jirachi,Tornadus,Politoed,Keldeo-Resolute,Latios,Togekiss,Victini,Alakazam,Ferrothorn,Keldeo-Resolute,Dragonite,Terrakion,Dragonite
3758,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Scizor,Skarmory,Salamence,Alakazam,Garchomp,Jellicent,Latios,Skarmory
3759,Breloom,Rotom-Wash,Tyranitar,Dusclops,Heatran,Latios,Chansey,Ferrothorn,Landorus-Therian,Tentacruel,Politoed,Dragonite,Rotom-Wash,Politoed
3760,Tyranitar,Landorus-Therian,Heatran,Reuniclus,Ferrothorn,Jellicent,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Ferrothorn,Hippowdon
3761,Excadrill,Tyranitar,Tangrowth,Landorus-Therian,Heatran,Jellicent,Excadrill,Breloom,Gyarados,Heatran,Politoed,Garchomp,Jellicent,Breloom
3762,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Excadrill,Charizard,Salamence,Ninetales,Terrakion,Ferrothorn,Latias,Terrakion
3763,Forretress,Tyranitar,Gastrodon,Heatran,Heracross,Latios,Tyranitar,Ferrothorn,Reuniclus,Landorus-Therian,Infernape,Latios,Gastrodon,Infernape
3764,Gothitelle,Kyurem-Black,Skarmory,Magnezone,Latias,Dragonite,Gliscor,Magnezone,Politoed,Tornadus,Keldeo,Ferrothorn,Skarmory,Politoed
3765,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Breloom,Scizor,Rotom-Wash,Chandelure,Landorus-Therian,Empoleon,Politoed,Landorus-Therian
3766,Excadrill,Scizor,Rotom-Wash,Celebi,Tyranitar,Aron,Excadrill,Hydreigon,Jirachi,Landorus-Therian,Virizion,Jellicent,Tyranitar,Landorus-Therian
3767,Kyurem,Xatu,Diglett,Abomasnow,Reuniclus,Garchomp,Ferrothorn,Jirachi,Tornadus,Starmie,Politoed,Garchomp,Abomasnow,Politoed
3768,Rotom-Wash,Conkeldurr,Tyranitar,Volcarona,Landorus-Therian,Starmie,Forretress,Chansey,Ninetales,Volcarona,Landorus-Therian,Cresselia,Tyranitar,Landorus-Therian
3769,Kyurem,Abomasnow,Magnezone,Starmie,Garchomp,Dragonite,Breloom,Salamence,Porygon2,Landorus-Therian,Heatran,Starmie,Garchomp,Landorus-Therian
3770,Excadrill,Ferrothorn,Tornadus,Keldeo,Politoed,Latios,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Jellicent,Politoed,Ferrothorn
3771,Thundurus-Therian,Excadrill,Ferrothorn,Mienshao,Tornadus,Politoed,Gastrodon,Azumarill,Jirachi,Tornadus,Landorus-Therian,Politoed,Ferrothorn,Tornadus
3772,Hydreigon,Salamence,Politoed,Heatran,Gliscor,Ferrothorn,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Ferrothorn,Garchomp
3773,Thundurus-Therian,Ferrothorn,Keldeo,Starmie,Politoed,Dragonite,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Garchomp,Thundurus-Therian,Celebi
3774,Thundurus-Therian,Tyranitar,Jirachi,Keldeo,Starmie,Politoed,Spiritomb,Qwilfish,Heatran,Mamoswine,Virizion,Latios,Jirachi,Latios
3775,Ferrothorn,Kyurem-Black,Starmie,Politoed,Garchomp,Latios,Lucario,Tyranitar,Skarmory,Landorus-Therian,Alakazam,Jellicent,Politoed,Skarmory
3776,Jirachi,Landorus-Therian,Starmie,Politoed,Dragonite,Latios,Excadrill,Tyranitar,Gastrodon,Reuniclus,Heatran,Gliscor,Landorus-Therian,Gastrodon
3777,Excadrill,Tyranitar,Skarmory,Alakazam,Mamoswine,Jellicent,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Skarmory,Starmie
3778,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Scizor,Tyranitar,Gastrodon,Latias,Heatran,Dragonite,Politoed,Scizor
3779,Excadrill,Breloom,Rotom-Wash,Tyranitar,Landorus-Therian,Latios,Thundurus-Therian,Toxicroak,Ferrothorn,Tentacruel,Politoed,Latios,Rotom-Wash,Ferrothorn
3780,Aerodactyl,Kyurem-Black,Magnezone,Jirachi,Dragonite,Latios,Terrakion,Volcarona,Starmie,Ferrothorn,Garchomp,Dragonite,Aerodactyl,Dragonite
3781,Salamence,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Thundurus-Therian,Ferrothorn,Landorus-Therian,Starmie,Politoed,Latios,Jirachi,Landorus-Therian
3782,Rotom-Wash,Gyarados,Reuniclus,Starmie,Mamoswine,Latios,Scizor,Kyurem-Black,Tornadus,Starmie,Politoed,Garchomp,Mamoswine,Garchomp
3783,Abomasnow,Dragonite,Volcarona,Jirachi,Landorus-Therian,Cloyster,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Cloyster,Keldeo-Resolute
3784,Haxorus,Scizor,Rotom-Wash,Landorus-Therian,Starmie,Garchomp,Tyranitar,Skarmory,Gliscor,Gastrodon,Reuniclus,Alakazam,Landorus-Therian,Skarmory
3785,Alakazam,Tyranitar,Skarmory,Gastrodon,Reuniclus,Gliscor,Darmanitan,Ninetales,Blissey,Gliscor,Lilligant,Crobat,Gliscor,Ninetales
3786,Excadrill,Celebi,Tyranitar,Terrakion,Landorus-Therian,Keldeo,Slowking,Scizor,Ursaring,Cofagrigus,Reuniclus,Dragonite,Landorus-Therian,Cofagrigus
3787,Arcanine,Venusaur,Ninetales,Jirachi,Dugtrio,Shiftry,Breloom,Lucario,Swampert,Salamence,Heatran,Espeon,Shiftry,Swampert
3788,Venusaur,Heatran,Hydreigon,Ninetales,Dugtrio,Espeon,Celebi,Tyranitar,Skarmory,Hydreigon,Keldeo,Latios,Dugtrio,Celebi
3789,Tyranitar,Salamence,Landorus-Therian,Alakazam,Wobbuffet,Heracross,Gorebyss,Kyurem-Black,Jirachi,Keldeo,Espeon,Azelf,Landorus-Therian,Azelf
3790,Rhyperior,Lucario,Chandelure,Sceptile,Empoleon,Dragonite,Excadrill,Conkeldurr,Blissey,Reuniclus,Alakazam,Ferrothorn,Sceptile,Excadrill
3791,Scizor,Kyurem-Black,Metagross,Salamence,Magnezone,Latios,Alakazam,Scizor,Salamence,Keldeo,Garchomp,Froslass,Metagross,Garchomp
3792,Thundurus-Therian,Gengar,Scizor,Terrakion,Zoroark,Infernape,Haxorus,Rhyperior,Umbreon,Dusclops,Jolteon,Sceptile,Gengar,Rhyperior
3793,Celebi,Gyarados,Heatran,Gliscor,Espeon,Keldeo-Resolute,Aerodactyl,Kyurem-Black,Magnezone,Jirachi,Dragonite,Latios,Keldeo-Resolute,Kyurem-Black
3794,Seismitoad,Ninetales,Victini,Landorus-Therian,Heatran,Starmie,Ferrothorn,Jirachi,Gliscor,Tentacruel,Politoed,Keldeo-Resolute,Victini,Gliscor
3795,Forretress,Breloom,Sableye,Gyarados,Starmie,Politoed,Hippowdon,Skarmory,Heatran,Alakazam,Empoleon,Garchomp,Sableye,Hippowdon
3796,Rotom-Wash,Tyranitar,Slowbro,Terrakion,Landorus-Therian,Dragonite,Breloom,Mew,Tyranitar,Landorus-Therian,Heatran,Starmie,Rotom-Wash,Breloom
3797,Tyranitar,Hydreigon,Terrakion,Alakazam,Starmie,Jellicent,Conkeldurr,Volcarona,Reuniclus,Ferrothorn,Garchomp,Latios,Starmie,Latios
3798,Tangrowth,Jirachi,Landorus-Therian,Heatran,Tentacruel,Dragonite,Terrakion,Latias,Landorus-Therian,Infernape,Keldeo-Resolute,Latios,Tangrowth,Latios
3799,Hippowdon,Gastrodon,Landorus-Therian,Dugtrio,Mamoswine,Garchomp,Haxorus,Umbreon,Ferrothorn,Gyarados,Jolteon,Politoed,Hippowdon,Politoed
3800,Tyranitar,Hydreigon,Skarmory,Keldeo,Amoonguss,Garchomp,Tyranitar,Heatran,Gliscor,Starmie,Ferrothorn,Jellicent,Keldeo,Gliscor
3801,Thundurus-Therian,Conkeldurr,Gyarados,Heatran,Ferrothorn,Latios,Excadrill,Breloom,Tyranitar,Skarmory,Salamence,Jellicent,Conkeldurr,Tyranitar
3802,Xatu,Diglett,Salamence,Volcarona,Jirachi,Politoed,Tyranitar,Landorus-Therian,Heatran,Keldeo,Ferrothorn,Latios,Jirachi,Landorus-Therian
3803,Haxorus,Excadrill,Ferrothorn,Gyarados,Politoed,Latios,Chansey,Ferrothorn,Gliscor,Tentacruel,Politoed,Dragonite,Politoed,Ferrothorn
3804,Hippowdon,Kyurem-Black,Jirachi,Starmie,Roserade,Dragonite,Excadrill,Toxicroak,Ferrothorn,Keldeo,Politoed,Latios,Roserade,Politoed
3805,Ditto,Basculin,Swoobat,Rotom-Fan,Golem,Alakazam,Xatu,Hippowdon,Rotom-Wash,Terrakion,Jirachi,Latios,Golem,Rotom-Wash
3806,Haxorus,Ninetales,Volcarona,Jirachi,Porygon2,Donphan,Tyranitar,Keldeo,Skarmory,Heatran,Alakazam,Amoonguss,Jirachi,Tyranitar
3807,Haxorus,Volcarona,Ninetales,Jirachi,Donphan,Snorlax,Excadrill,Breloom,Salamence,Jirachi,Tornadus,Dragonite,Ninetales,Dragonite
3808,Zapdos,Toxicroak,Probopass,Blissey,Politoed,Dragonite,Kyurem-Black,Metagross,Volcarona,Mamoswine,Keldeo-Resolute,Dragonite,Politoed,Mamoswine
3809,Chansey,Rotom-Wash,Dragonite,Ferrothorn,Infernape,Nidoking,Xatu,Excadrill,Ninetales,Blissey,Cresselia,Dragonite,Rotom-Wash,Ninetales
3810,Jirachi,Reuniclus,Alakazam,Ferrothorn,Garchomp,Latios,Scizor,Tyranitar,Persian,Zoroark,Milotic,Latios,Garchomp,Persian
3811,Tyranitar,Gyarados,Cofagrigus,Alakazam,Donphan,Dragonite,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Garchomp,Tyranitar,Rotom-Wash
3812,Tyranitar,Gliscor,Terrakion,Gastrodon,Alakazam,Garchomp,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Terrakion,Bronzong
3813,Tyranitar,Gliscor,Terrakion,Gastrodon,Alakazam,Garchomp,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Gastrodon,Bronzong
3814,Excadrill,Tyranitar,Latias,Landorus-Therian,Clefable,Slowbro,Staraptor,Victini,Terrakion,Meloetta,Jirachi,Mamoswine,Tyranitar,Terrakion
